Name,CPAN_Username,Twitter_Username,Website,Photo_URL,Brief_Bio,Presentation_Type,Blocks,Day,Time,Track,Group,Audience_Experience,Title,Public_Description
"Nearby restaraunts and on-premise cafeteria",,,,,,,3,2017-06-18,12:30,ALL,,,Lunch,
"Nearby restaraunts and on-premise cafeteria",,,,,,,2.5,2017-06-19,12:10,ALL,,,Lunch,
"Nearby restaraunts and on-premise cafeteria",,,,,,,3,2017-06-20,12:00,ALL,,,Lunch,
"Nearby restaraunts and on-premise cafeteria",,,,,,,3,2017-06-21,12:00,ALL,,,Lunch,
"Nearby restaraunts",,,,,,,3,2017-06-22,12:30,ALL,,,Lunch,
"Nearby restaraunts and on-premise cafeteria",,,,,,,3,2017-06-23,12:30,ALL,,,Lunch,
Cookies?!,,,,,,,1,2017-06-19,15:30,ALL,,,Snack,
Cookies?!,,,,,,,1,2017-06-20,15:45,ALL,,,Snack,
Cookies?!,,,,,,,1,2017-06-21,15:45,ALL,,,Snack,
YOU!,,,,,,,2,2017-06-19,16:00,ALL,,,"Lightning Talks",
YOU!,,,,,,,2,2017-06-20,16:00,ALL,,,"Lightning Talks",
YOU!,,,,,,,2,2017-06-21,16:00,ALL,,,"Lightning Talks",
TPF,,,,,,,2,2017-06-18,08:00,ALL,,,"Registration / Breakfast",
TPF,,,,,,,2,2017-06-19,08:00,ALL,,,"Registration / Breakfast",
TPF,,,,,,,2,2017-06-20,08:00,ALL,,,"Registration / Breakfast",
TPF,,,,,,,2,2017-06-21,08:00,ALL,,,"Registration / Breakfast",
TPF,,,,,,,2,2017-06-22,08:00,ALL,,,"Registration / Breakfast",
TPF,,,,,,,2,2017-06-23,08:00,ALL,,,"Registration / Breakfast",
TPF,,,,,,,1,2017-06-19,09:00,ALL,,,"Intro / TPF Update",
TPF,,,,,,,1,2017-06-20,09:00,ALL,,,"Intro / Announcements",
TPF,,,,,,,1,2017-06-21,09:00,ALL,,,"Intro / Announcements",
TPF,,,,,,,1,2017-06-19,18:00,ALL,,,"VIP Reception Dinner (USPTO), Sponsors Dinner, Board Games, Bad Movies",
TPF,,,,,,,1.5,2017-06-20,18:00,ALL,,,"Social Event (USPTO Inventors Hall of Fame)",
TPF,,,,,,,1.5,2017-06-21,17:00,ALL,,,"Closing Notes",
"Damian Conway",,,,,,,2,2017-06-20,17:00,ALL,,,Keynote,
